"price","retail_price","units_sold","uses_ad_boosts","rating","rating_count","countries_shipped_to","origin_country","merchant_title","merchant_satisfaction","merchant_rating_count","merchant_rating","merchant_id","merchant_has_profile_picture","product_id","merchant_satisfaction_temp"
16,14,100,0,3.76,54,34,"CN","zgrdejia",NULL,568,4.13,"595097d6a26f6e070cb878d1",0,"5e9ae51d43d6a96e303acdb0","(568 notes)"
8,22,20000,1,3.45,6135,41,"CN","SaraHouse",83,17752,3.9,"56458aa03a698c35c9050988",0,"58940d436a0d3d5da4e95a38","83 % avis positifs (17,752 notes)"
8,43,100,0,3.57,14,36,"CN","hxt520",86,295,3.99,"5d464a1ffdf7bc44ee933c65",0,"5ea10e2c617580260d55310a","86 % avis positifs (295 notes)"
3.92,9,10,0,5,1,40,"CN","zhoulinglinga",75,65,3.51,"5e4b9c3801ba9d210036fc5a",0,"5ec645bafd107a02279c8c54","75 % avis positifs (65 notes)"
7,6,50000,0,3.84,6742,31,"CN","Unique Li Fashion Shop",86,10194,4.08,"5652f4053a698c76dc9a3f37",1,"5c63a337d5e2ce4bbb3152cf","86 % avis positifs (10,194 notes)"
12,11,1000,0,3.76,286,139,"CN","So Band",NULL,342,3.68,"5d45349676befe65691dcfbb",0,"5e0ae5ebc2efb76ccf0a3391","(342 notes)"
11,84,100,1,3.47,15,36,"CN","chenxiangjunjun",82,330,3.8,"5d42980e8388970d32294ddc",0,"5e6f1fb7fe4a5bb4b8bf36e5","82 % avis positifs (330 notes)"
5.78,22,5000,0,3.6,687,33,"CN","Luowei clothe",85,5534,4,"5ba2251b4315d12ebce873fa",0,"5ccfaf238a8d535cec2dfb47","85 % avis positifs (5,534 notes)"
5.79,5,1000,0,3.46,613,25,"CN","mayuhiao",84,9470,3.96,"5952a218e81e8a4c30b5bbbc",0,"5cac5af68de7960d89e54fe0","84 % avis positifs (9,470 notes)"
1.91,6,1000,1,3.45,141,38,"CN","easymarket",87,557,4.12,"5d3c419de4b65d4fb81e7286",0,"5e9da39dc737cf255eddd4bf","87% Feedback positivo (557 classificações)"
2,2,20000,1,3.65,2457,36,"CN","Pentiumhorse",NULL,55499,4.14,"5926c5ace8ff5525241b368d",0,"5cc2ce18bc97595b6549fa14","(55,499 notes)"
11,81,1000,0,3.92,426,41,"CN","Petha's boutique",86,39381,4.07,"566012f6769a5629aefca555",0,"5c85d47641ec3b55d4d14f79","86 % avis positifs (39,381 notes)"
11,10,10000,0,3.72,2058,34,"CN","2312hangm",NULL,6302,3.96,"5b8beef49996c87b299cdbec",0,"5cd3e795ebe403118bbc0f89","(6,302 notes)"
5,25,100000,1,3.83,17980,41,"CN","leiston",84,139223,3.93,"5708773c3c02161b3f8c7900",0,"5b07a7c6e997b33c6f9947da","84 % avis positifs (139,223 notes)"
9,9,20000,0,3.82,5479,43,"CN","centper3",87,22089,4.08,"59cdc2112351344fc0dfa54f",0,"5a8f82375e2ae101c8913122","87 % avis positifs (22,089 notes)"
11,10,5000,0,3.84,1183,69,"CN","uranus",91,23609,4.26,"5576bb43de4a8c24953ae98f",0,"57416238fc6f7d5d698f3c9f","91 % avis positifs (23,609 notes)"
5,6,20000,0,3.6,3552,41,"CN","Oucho co. ltd.",NULL,12913,3.98,"55ed5a3362e273427107759e",1,"5c244b73e6a1c618296f73db","(12,913 notes)"
11,26,1000,0,3.38,72,51,"CN","huaxianglarou",90,4516,4.23,"5ae93337d204cc177313f242",0,"5e1056784fff5f26e6f1745d","90 % avis positifs (4,516 notes)"
7,6,5000,1,3.67,510,138,"CN","Pure Fashion",NULL,96838,4.26,"5cb636dda7173671aedef051",0,"5d15731024c17f6b8b9bd97a","(96,838 notes)"
5.71,5,1000,0,3.75,678,43,"CN","sjhdstoer",85,80093,4.01,"583138b06339b410ab9663ec",0,"5c63adf7edc5d6528e8b1ca3","85 % avis positifs (80,093 notes)"
9,32,1000,0,4.15,567,41,"CN","terbuer",87,9395,4.11,"575cfe470551415caa5505b5",0,"5bed2a42bdf0421a30e62c6c","87 % avis positifs (9,395 notes)"
9,9,1000,0,4.03,216,60,"US","coaluss",90,4298,4.23,"5a0fe8770a332a615df86c5e",0,"5b5edbae1e222732845e655f","90 % avis positifs (4,298 notes)"
5.65,5,20000,0,4.29,2996,43,"CN","happyshoooping",NULL,40943,4.02,"56c6f731bc435416ed5984d7",0,"5a4f2d8f5dcd0221008b2c36","(40,943 notes)"
1.74,2,100,1,4.25,12,41,"CN","Memo2",81,18138,3.83,"58ba636a69ad29505a730852",0,"5e5e09065b03ef0b420f333f","81 % avis positifs (18,138 notes)"
5.65,6,1000,0,4.06,301,54,"CN","meiximeiyo",86,7034,4.06,"5adef3559d5e9767b3177472",0,"5cc0049aca0c3b3d01a87964","86 % avis positifs (7,034 notes)"
14,76,100,0,4.06,31,36,"CN","HOT DRESS",84,51369,3.97,"539937d634067e06707b1a8e",1,"5c9d920da94960780239d468","84 % avis positifs (51,369 notes)"
5.65,6,1000,1,4.37,217,38,"CN","New Fashion Shopping Park",87,44837,4.07,"54d30f53dc8ce133f79b434d",0,"5c9ee457c233fd74ef4c8a84","87 % avis positifs (44,837 notes)"
8,7,1000,0,3.81,443,46,"CN","Kallyett",81,3460,3.87,"5d49403060c79c113a908720",0,"5dc4488112f5e91a9d4bb52e","81 % avis positifs (3,460 notes)"
2.66,3,5000,0,3.44,1136,22,"CN","Faringoto",92,223392,4.31,"547bdd648edcfa5656cac810",0,"5b582d5ec4561c4f6b53feeb","92 % avis positifs (223,392 notes)"
9,8,10000,0,3.8,1231,45,"CN","Sangboo Store",NULL,10600,3.87,"582833faea77701b456c786a",0,"5cae1d6c836ecb39e57e9e80","(10,600 derece)"
11,10,1000,0,4.16,274,31,"CN","Lin Fashion Store",NULL,13946,4,"559d33adc605853731afbf10",0,"5b10cf0b7cc4492c87411045","(13,946 notes)"
8,17,100,1,2.75,8,40,"CN","Unnistore",85,47981,4.03,"5684eae9daaaee26a0fdadba",0,"5eb4dcebdaa4b90940076979","85 % avis positifs (47,981 notes)"
