"price","retail_price","units_sold","uses_ad_boosts","rating ","countries_shipped_to","origin_country","merchant_title","merchant_rating","product_id","discount","sales_revenue","units_sold_volume"
8,7,100000,1,3.76,38,"CN","shenzhen l",4.05,"54bdf18039b8c045f118936a",-14.29,800000,"The Highest"
15,115,50000,1,3.94,38,"CN","fashionfor",4.26,"563707b0e5be09157176fe80",86.96,750000,"Very High"
7,22,100000,1,3.82,46,"CN","apparelhea",4.22,"567cb0925ff12c4829f07dfb",68.18,700000,"The Highest"
5.77,48,100000,0,4.1,46,"CN","trendy_wor",4.07,"544b079d1280fa28eee9b380",87.98,577000,"The Highest"
5.67,19,100000,0,3.53,37,"CN","fashionsto",3.89,"571adeab62cce546f1a46bc0",70.16,567000,"The Highest"
11,10,50000,0,3.91,31,"CN","good999",4.18,"574ff29cb4b28660d9f94d3f",-10.00,550000,"Very High"
5,33,100000,0,3.98,41,"CN","bigcompany",4.04,"53897eeeafddf70c91af1cda",84.85,500000,"The Highest"
5,25,100000,1,3.83,41,"CN","leiston",3.93,"5b07a7c6e997b33c6f9947da",80.00,500000,"The Highest"
9,8,50000,0,3.83,53,"CN","nortinsam",4.3,"5892e3b0da200f71bcec426e",-12.50,450000,"Very High"
9,81,50000,0,4.26,40,"CN","fashionsho",4.11,"556fbe8595528719e004fa27",88.89,450000,"Very High"
22,19,20000,1,3.66,38,"CN","shangjing1",4.1,"5c0a0eab7721f07320bdacd0",-15.79,440000,"High"
8,84,50000,0,3.6,36,"CN","hot dress",3.97,"58df3eb809730e54ddd932ca",90.48,400000,"Very High"
8,54,50000,0,3.69,78,"CN","goddess-be",3.84,"579c11beaa8aa377f926b2ea",85.19,400000,"Very High"
19,105,20000,1,4.4,57,"CN","guangzhou ",4.33,"54ab85ff509baf3e966f7f2a",81.90,380000,"High"
18,16,20000,0,4.23,10,"CN","pandolah a",4.39,"5656be5c8f5f02126fd6babc",-12.50,360000,"High"
7,6,50000,0,3.84,31,"CN","unique li ",4.08,"5c63a337d5e2ce4bbb3152cf",-16.67,350000,"Very High"
7,13,50000,1,3.35,40,NULL,"freebird",4.1,"552f840fcea30816e52aabcf",46.15,350000,"Very High"
7,6,50000,1,4.41,35,"CN","hellohorse",4.15,"5ad987d8918dae087d633040",-16.67,350000,"Very High"
7,6,50000,0,4.12,18,"CN","yangaiqun",4.16,"5b17a4cff4979a14e3b4bf7f",-16.67,350000,"Very High"
16,14,20000,0,4.27,10,"CN","pandolah a",4.39,"55c181dee7f48f42252fb7ff",-14.29,320000,"High"
15,13,20000,0,4.34,10,"CN","pandolah a",4.39,"56396e7c37b94b100592b93b",-15.38,300000,"High"
6,6,50000,0,4.2,53,"CN","frome",4.23,"57cfd9cc1640562050e48bec",0.00,300000,"Very High"
5.7,58,50000,0,3.45,45,"CN","fashion va",4.1,"56553387a03eee0826acb151",90.17,285000,"Very High"
14,12,20000,1,3.61,32,"CN","2ist",3.92,"58d5c37dd3af5b54ebb74d56",-16.67,280000,"High"
13,11,20000,1,2.97,35,"CN","youngpeopl",4,"5d07120c11e6065641900fc4",-18.18,260000,"High"
13,252,20000,0,3.91,35,"CN","bushangfus",4.1,"576ba1eb7f3351084cd0b578",94.84,260000,"High"
13,30,20000,0,2.93,45,"CN","sacha",4.1,"55a3818f65bfcb406995a2a5",56.67,260000,"High"
13,11,20000,1,4.06,43,"CN","fancykini ",4.29,"5942193c9b78fd772abfc706",-18.18,260000,"High"
5,5,50000,0,3.93,29,"CN","hgjkgk",4.1,"5b07f4f16e42c03e6eb4b1f6",0.00,250000,"Very High"
12,118,20000,1,4.29,38,"CN","fashionfor",4.26,"56a88f23e726b165ec424c94",89.83,240000,"High"
12,110,20000,1,4.04,41,"CN","yyw com",4.19,"5bd144f0b0de8459981dd41c",89.09,240000,"High"
12,11,20000,1,3.64,36,"CN","pentiumhor",4.14,"5cc40501e824b607860ec588",-9.09,240000,"High"
12,11,20000,0,4.15,36,"CN","guangzhou ",4.11,"58d3459c7379b159c406b360",-9.09,240000,"High"
12,76,20000,0,4.17,38,"CN","fashionfor",4.13,"55754db131308d19e9cfcfee",84.21,240000,"High"
12,11,20000,1,3.8,49,"CN","smart home",4.12,"5cbd345663e9171f9180b06d",-9.09,240000,"High"
12,11,20000,1,3.89,50,"CN","redisland",4.15,"5d05d9ca81f992576d4f0d23",-9.09,240000,"High"
12,81,20000,0,4.08,38,"CN","fashionfor",4.13,"53c8f05046188e57778ac77c",85.19,240000,"High"
4.66,11,50000,1,4.01,44,"CN","ice scream",4.22,"58b7dc3133b0bd5914a62c90",57.64,233000,"Very High"
11,83,20000,0,3.87,38,"CN","fashionfor",4.13,"5576b706edb2391a06372f71",86.75,220000,"High"
11,18,20000,1,4.14,46,"CN","apparelhea",4.22,"572981a997dc5f5d3c5f0651",38.89,220000,"High"
11,10,20000,0,4.32,39,"CN","toplifeyou",4.29,"5b0cb6869019fa04b1e83f3f",-10.00,220000,"High"
11,10,20000,1,4.07,35,"CN","f40051ab1z",3.97,"5cf5e44b3c8b9e101a5db52c",-10.00,220000,"High"
11,19,20000,1,3.78,41,"CN","liliyuanxi",4,"5a748120dc0c28764634ccfe",42.11,220000,"High"
11,106,20000,1,3.92,45,"CN","hechuang10",4.07,"5a211e5fb2f70e3fded9ea3e",89.62,220000,"High"
11,38,20000,1,3.66,42,"CN","beauty_bab",4.11,"58f5ebbc9895db01c700c615",71.05,220000,"High"
11,10,20000,0,3.69,37,"CN","lovemom",4.02,"5dc3800976a1ec057a02a047",-10.00,220000,"High"
11,10,20000,0,3.73,41,"CN","shenzhenfu",3.92,"5809ab4aa964b43cbe7b19ef",-10.00,220000,"High"
11,84,20000,0,3.53,60,"CN","byebyebye",4.02,"591c1155b9317f274dbaac86",86.90,220000,"High"
11,37,20000,0,3.42,39,"CN","melantha",4.31,"57d25f8877ba9b045e02cd12",70.27,220000,"High"
11,10,20000,1,3.7,35,"CN","f40051ab1z",3.97,"5cfcdd42b3fdc841c21ff904",-10.00,220000,"High"
11,14,20000,1,3.76,43,"CN","xiaomi",4.14,"5af406469be1de3b00f73128",21.43,220000,"High"
11,10,20000,1,3.63,35,"CN","totototo m",3.92,"5d1c3deb8efcc17404a476fd",-10.00,220000,"High"
11,250,20000,0,3.64,47,"CN","gl",4.16,"56975d088b70437255bf8af8",95.60,220000,"High"
11,20,20000,0,3.56,37,"CN","guangzhou ",3.96,"55acbdf8ed44704872df93e2",45.00,220000,"High"
